Symbol,Current Price,Date,Time,Change,Open,High,Low,Volume,Trade Date,Purchase Price,Quantity,Commission,High Limit,Low Limit,Comment
EDT,-1.5700073,150.0,157.25,146.23,2136857,,,,,,,
SXLV.L,28.0125,2020/05/01,16:19 BST,-0.7087498,28.245,28.2475,28.0275,13300,,,,,,,
OXY,15.215,2020/05/01,15:52 EDT,-1.3850002,16.02,16.41,15.085,34453520,20200319,10.7,10000.0,,,,
XRX,16.9925,2020/05/01,15:52 EDT,-1.2975006,17.74,17.98,16.69,3250910,20200319,16.2,6000.0,,,,
ZZMS.F,3.5,2020/04/30,18:03 CEST,-0.24000001,3.56,3.64,3.3,3653,,,,,,,
NKE,85.26,2020/05/01,15:52 EDT,-1.9199982,85.67,86.105,84.81,4960036,,,,,,,
BBD-B.TO,0.46,2020/05/01,15:37 EDT,-0.030000001,0.485,0.485,0.445,16581185,,,,,,,
GRU.F,1.415,2020/04/30,18:45 CEST,-0.034800053,1.4548,1.4548,1.415,84343,,,,,,,
TEMN.SW,125.6,2020/04/30,17:30 CEST,-1.5999985,128.9,133.1,125.4,512417,20191115,146.0,500.0,,,,
AUTN.SW,85.05,2020/04/30,17:30 CEST,1.25,84.25,90.0,84.1,45113,20191008,95.0,1000.0,,,,
OERL.SW,7.23,2020/04/30,17:30 CEST,-0.07999992,7.355,7.5,7.23,969403,20190715,10.9,15000.0,,,,
OERL.SW,7.23,2020/04/30,17:30 CEST,-0.07999992,7.355,7.5,7.23,969403,20190812,9.1,5000.0,,,,
DBK.F,6.732,2020/04/30,19:48 CEST,-0.3460002,7.15,7.3,6.593,374982,,,,,,,
DAI.F,31.2,2020/04/30,19:52 CEST,-0.85499954,33.15,33.205,31.1,101245,20190730,48.4,2500.0,,,,
VOW.F,136.5,2020/04/30,19:58 CEST,-9.0,148.4,149.5,136.0,1119,,,,,,,
TSLA,700.07,2020/05/01,15:52 EDT,-81.81,755.0,772.77,683.04,31221285,,,,,,,
XIACF,1.26,2020/05/01,14:23 EDT,-0.049999952,1.26,1.32,1.25,17066,,,,,,,
LHA.DE,8.158,2020/04/30,17:35 CEST,-0.32199955,8.5,8.736,7.908,11697482,20190524,17.8,6000.0,,,,
LHA.DE,8.158,2020/04/30,17:35 CEST,-0.32199955,8.5,8.736,7.908,11697482,20200131,14.1,4500.0,,,,
MOR.DE,95.94,2020/04/30,17:35 CEST,-0.05999756,97.46,99.7,95.38,273873,,,,,,,
ARYN.SW,0.3892,2020/04/30,17:30 CEST,0.0264,0.3754,0.3904,0.3696,13267497,20190730,0.89,120000.0,,,,
ALC.SW,50.94,2020/04/30,17:30 CEST,-1.1000023,52.46,52.7,50.94,2206118,20190416,0.0,340.0,,,,
ALC.SW,50.94,2020/04/30,17:30 CEST,-1.1000023,52.46,52.7,50.94,2206118,20190729,58.6,2660.0,,,,
ALC.SW,50.94,2020/04/30,17:30 CEST,-1.1000023,52.46,52.7,50.94,2206118,20200430,51.8,-3000.0,,,,
ROG.SW,335.45,2020/04/30,17:30 CEST,-6.399994,342.2,344.45,335.45,3211514,20190102,279.0,600.0,,,,
NESN.SW,101.9,2020/04/30,17:30 CEST,-1.0800018,103.24,104.1,101.9,15248746,20190102,58.0,2800.0,,,,
NESN.SW,101.9,2020/04/30,17:30 CEST,-1.0800018,103.24,104.1,101.9,15248746,20190726,105.2,600.0,,,,
NESN.SW,101.9,2020/04/30,17:30 CEST,-1.0800018,103.24,104.1,101.9,15248746,20200203,105.2,-1200.0,,,,
NESN.SW,101.9,2020/04/30,17:30 CEST,-1.0800018,103.24,104.1,101.9,15248746,20200310,99.6,-1000.0,,,,
NESN.SW,101.9,2020/04/30,17:30 CEST,-1.0800018,103.24,104.1,101.9,15248746,20200406,99.0,-1200.0,,,,
ABBN.SW,18.325,2020/04/30,17:30 CEST,-0.40999985,18.815,19.01,18.315,13291962,,,,,,,
NOVN.SW,82.26,2020/04/30,17:30 CEST,-2.7999954,84.18,84.26,82.26,9204437,20190102,85.0,1700.0,,,,
AMS.SW,12.57,2020/04/30,17:30 CEST,-0.7400007,14.0,14.5,12.525,8079568,20200228,33.1,4000.0,,,,
AMS.SW,12.57,2020/04/30,17:30 CEST,-0.7400007,14.0,14.5,12.525,8079568,20200310,26.6,3000.0,,,,
AMS.SW,12.57,2020/04/30,17:30 CEST,-0.7400007,14.0,14.5,12.525,8079568,20200312,19.0,3000.0,,,,
AMS.SW,12.57,2020/04/30,17:30 CEST,-0.7400007,14.0,14.5,12.525,8079568,20200316,9.0,5000.0,,,,
AMS.SW,12.57,2020/04/30,17:30 CEST,-0.7400007,14.0,14.5,12.525,8079568,20200323,9.2,22500.0,,,,
AAPL,289.02,2020/05/01,15:52 EDT,-4.779999,286.25,299.0,285.85,54977599,20190101,119.0,700.0,,,,
AAPL,289.02,2020/05/01,15:52 EDT,-4.779999,286.25,299.0,285.85,54977599,20200131,320.0,-500.0,,,,
AMZN,2287.95,2020/05/01,15:52 EDT,-186.05005,2336.8,2362.44,2258.25,9036511,20190301,667.0,150.0,,,,
AMZN,2287.95,2020/05/01,15:52 EDT,-186.05005,2336.8,2362.44,2258.25,9036511,20190726,1964.0,-20.0,,,,
AMZN,2287.95,2020/05/01,15:52 EDT,-186.05005,2336.8,2362.44,2258.25,9036511,20200102,1867.0,-80.0,,,,
BABA,194.47,2020/05/01,15:52 EDT,-8.199997,195.75,197.38,192.86,20645724,20190301,183.0,1200.0,,,,
BABA,194.47,2020/05/01,15:52 EDT,-8.199997,195.75,197.38,192.86,20645724,20200319,183.0,-600.0,,,,
BIDU,96.05,2020/05/01,15:52 EDT,-4.8799973,98.2,98.17,94.3144,3991570,20190301,238.0,600.0,,,,
BIDU,96.05,2020/05/01,15:52 EDT,-4.8799973,98.2,98.17,94.3144,3991570,20190912,112.0,400.0,,,,
BSLN.SW,48.6,2020/04/30,17:30 CEST,-0.98000336,49.08,50.2,48.3,48542,20190301,78.0,2000.0,,,,
GLEN.L,139.78,2020/05/01,17:06 BST,-7.3200073,142.56,142.56,136.76,28957166,20190301,200.0,40000.0,,,,
GLEN.L,139.78,2020/05/01,17:06 BST,-7.3200073,142.56,142.56,136.76,28957166,20190614,270.0,-40000.0,,,,
GOOGL,1320.88,2020/05/01,15:52 EDT,-25.819946,1324.09,1351.43,1309.66,2042678,20190101,424.0,200.0,,,,
GOOGL,1320.88,2020/05/01,15:52 EDT,-25.819946,1324.09,1351.43,1309.66,2042678,20200319,1090.0,-100.0,,,,
LISN.SW,80800.0,2020/04/30,17:30 CEST,-2600.0,83100.0,83200.0,80800.0,287,20190301,18000.0,1.0,,,,
PBB.DE,6.715,2020/04/30,17:35 CEST,-0.30499983,7.025,7.085,6.58,1248247,20190301,9.8,15000.0,,,,
PBB.DE,6.715,2020/04/30,17:35 CEST,-0.30499983,7.025,7.085,6.58,1248247,20190712,10.4,-15000.0,,,,
TRXC,0.4198,2020/05/01,15:51 EDT,0.005100012,0.4404,0.4399,0.4148,650796,20190301,2.57,60000.0,,,,
TRXC,0.4198,2020/05/01,15:51 EDT,0.005100012,0.4404,0.4399,0.4148,650796,20190510,1.3,15000.0,,,,
TRXC,0.4198,2020/05/01,15:51 EDT,0.005100012,0.4404,0.4399,0.4148,650796,20190520,1.31,5000.0,,,,
TRXC,0.4198,2020/05/01,15:51 EDT,0.005100012,0.4404,0.4399,0.4148,650796,20190522,1.32,10000.0,,,,
TRXC,0.4198,2020/05/01,15:51 EDT,0.005100012,0.4404,0.4399,0.4148,650796,20190808,0.89,20000.0,,,,
TRXC,0.4198,2020/05/01,15:51 EDT,0.005100012,0.4404,0.4399,0.4148,650796,20190911,0.63,-110000.0,,,,
UHRN.SW,37.58,2020/04/30,17:30 CEST,-2.079998,39.88,40.28,37.46,118137,20190301,100.0,2000.0,,,,
